aX,aY
26,57
25,56
26,54
26,57
21,50
26,50
27,61
27,59
25,60
25,57
20,58
27,61
20,59
21,56
28,60
27,57
30,58
28,57
26,56
26,58
19,51
18,59
21,53
25,55
22,57
29,60
26,53
25,57
22,52
25,59
24,64
21,57
25,57
27,59
26,67
27,69
26,66
28,65
27,64
26,64
25,66
23,66
27,70
26,67
28,67
25,67
25,65
25,64
24,61
25,61
24,66
25,66
26,65
20,64
26,69
24,68
26,64
26,60
27,63
25,62
23,64
,
25,43
25,49
23,52
25,59
26,59
22,65
25,63
24,66
24,64
24,63
26,64
25,61
23,65
25,62
26,62
22,61
21,61
23,59
24,63
26,64
23,62
23,64
21,56
16,57
19,61
24,59
26,60
23,58
26,61
18,53
23,60
26,64
25,65
24,67
20,61
17,57
21,56
20,67
25,69
16,60
20,67
25,65
21,64
22,65
20,57
25,56
16,56
22,65
23,64
24,59
21,58
23,56
20,56
24,58
24,55
24,55
20,51
23,53
24,56
25,54
24,56
22,57
24,61
20,60
25,61
23,61
23,63
19,51
24,61
20,59
21,52
19,54
23,57
21,49
25,54
18,48
19,52
22,53
23,54
22,50
23,51
18,49
24,54
19,59
20,52
24,56
23,60
25,63
25,57
24,58
18,50
24,52
24,60
23,60
24,57
23,59
15,53
26,61
18,54
18,51
23,60
24,62
24,67
22,64
24,60
24,60
22,56
18,60
18,56
23,55
21,59
21,60
24,65
23,63
24,62
18,51
22,56
24,62
23,58
24,59
21,56
20,55
24,59
16,52
24,58
24,61
23,61
24,61
25,59
21,58
22,58
20,58
24,59
24,58
23,55
20,60
17,55
20,57
25,58
17,56
22,54
18,52
20,55
24,50
24,57
23,59
19,54
28,63
27,65
25,68
30,67
40,77
42,95
40,105
40,130
30,133
37,154
44,150
50,181
56,196
77,186
92,196
98,201
112,193
134,214
145,223
166,203
173,188
179,217
178,214
168,202
151,215
121,249
101,225
88,219
75,226
71,227
65,216
60,208
57,213
54,212
54,218
51,229
46,237
41,246
37,257
36,266
35,272
32,275
33,284
35,290
32,292
26,295
33,303
27,291
34,295
30,297
31,297
30,289
32,283
29,273
32,265
31,251
35,252
34,241
35,232
27,215
33,209
32,192
26,185
34,176
37,168
33,158
26,140
31,139
32,133
32,125
23,117
24,113
32,104
29,96
29,93
29,90
23,87
30,81
29,81
23,73
22,71
28,74
24,65
26,70
28,68
22,59
19,65
21,61
26,69
28,68
20,64
28,71
28,72
26,63
31,68
23,69
23,65
27,72
28,73
27,76
28,73
22,66
21,69
25,70
25,72
24,72
23,70
20,65
27,80
25,75
22,77
26,74
26,75
20,72
25,75
20,66
20,65
27,70
23,73
20,64
27,67
26,67
28,72
19,69
25,73
27,68
19,65
20,55
28,68
22,67
25,66
26,71
27,70
23,72
26,76
28,70
26,70
27,70
26,69
27,73
27,69
23,64
23,67
28,69
21,64
24,70
27,69
21,60
27,65
28,75
25,73
28,69
24,69
23,68
25,67
23,66
25,70
27,72
26,75
20,70
28,72
28,71
26,65
21,62
27,71
24,66
28,69
25,67
28,72
23,64
26,66
27,64
19,63
25,67
25,64
24,64
24,67
25,66
23,71
27,77
21,71
27,68
22,71
25,70
20,70
26,69
29,64
34,66
27,68
25,68
25,72
28,70
26,69
27,71
19,64
20,67
26,72
26,68
26,73
22,72
23,67
27,68
27,67
28,64
23,68
27,69
29,71
27,71
28,66
22,62
28,70
25,67
26,66
19,67
25,63
26,61
19,56
25,58
27,70
26,69
25,64
18,57
22,58
27,69
28,70
27,72
22,65
26,66
21,69
26,71
26,69
26,64
25,65
25,72
18,63
21,63
24,65
27,66
29,70
23,67
25,64
21,60
28,59
28,62
27,60
27,67
28,64
28,69
23,72
28,70
23,63
24,72
26,72
28,70
28,68
30,69
25,67
26,65
19,60
26,68
25,67
31,65
28,82
19,71
26,75
22,66
27,71
29,71
24,65
23,70
27,66
24,60
19,59
22,62
20,58
25,67
24,64
24,60
22,61
27,70
23,59
26,65
26,64
26,69
26,71
25,64
19,65
25,65
25,69
26,65
27,63
27,62
21,59
22,57
27,66
24,65
23,62
26,70
20,70
26,76
20,65
19,65
28,74
26,73
23,67
27,78
27,71
27,72
27,72
20,63
20,64
25,67
24,65
27,72
19,63
25,60
26,65
27,67
24,68
26,66
26,65
24,64
23,57
25,64
22,66
30,64
28,64
26,65
25,65
25,67
26,64
26,65
27,66
20,61
19,60
28,59
28,63
27,66
22,59
25,64
28,63
28,58
40,60
24,70
25,64
25,64
26,64
27,65
25,63
24,63
26,62
24,64
21,65
25,68
22,70
28,68
26,62
20,64
27,64
23,66
28,66
29,60
25,67
30,72
26,71
24,66
26,63
29,70
30,67
24,66
30,65
30,63
24,56
25,61
30,63
28,61
28,66
23,59
28,62
29,67
29,66
23,56
28,61
28,62
28,62
20,57
28,60
25,59
26,61
27,59
25,55
26,57
26,62
25,59
26,62
28,66
28,60
27,57
22,58
25,60
27,62
23,56
28,65
26,67
27,68
25,64
23,65
25,65
27,66
26,64
25,65
21,57
26,64
23,57
27,60
21,58
24,61
25,56
27,62
26,62
22,56
26,64
21,63
18,56
25,62
25,61
24,61
24,56
19,61
25,69
25,68
19,68
23,64
24,71
25,69
25,66
18,61
24,63
19,58
24,64
25,57
26,57
20,58
18,56
24,64
21,58
22,61
27,66
24,63
20,58
26,64
21,59
28,63
27,61
27,61
27,61
20,55
28,63
21,60
27,60
21,63
28,72
28,71
26,70
26,66
21,59
27,67
27,66
28,66
25,62
26,71
25,69
27,68
28,67
28,68
26,66
28,63
31,62
29,61
26,55
30,54
31,63
25,57
28,63
30,64
25,65
23,64
26,67
26,65
26,65
28,60
20,59
27,66
21,58
25,63
10,71
22,68
28,72
26,68
26,62
26,70
24,60
27,63
25,62
21,59
19,55
24,66
28,63
28,58
27,64
26,69
26,68
26,69
26,59
26,62
27,62
25,55
25,61
20,62
28,55
28,58
31,61
25,57
18,56
26,59
28,63
26,64
21,56
24,60
26,62
18,54
25,58
22,57
25,53
24,57
27,64
25,64
26,62
26,61
27,68
24,69
26,71
22,62
25,63
24,57
26,60
25,61
23,61
22,57
25,51
25,57
27,55
28,58
25,55
21,51
26,56
20,57
26,56
25,56
25,55
26,66
25,67
25,70
25,63
24,69
19,65
22,61
28,64
23,63
23,62
25,61
21,58
24,55
25,61
27,64
26,64
27,66
26,64
19,58
28,63
28,64
28,62
27,61
26,61
27,60
23,56
26,61
27,62
24,59
21,56
20,55
24,66
25,66
,
20,37
23,39
27,64
30,68
23,60
21,68
27,64
24,65
24,67
24,66
19,61
24,63
21,55
26,60
28,60
28,58
27,54
25,58
26,52
17,49
20,48
18,49
25,53
26,63
30,74
27,75
25,72
26,74
18,68
25,71
28,68
16,64
27,64
23,65
20,57
25,63
19,59
21,54
22,63
26,62
25,61
24,63
24,64
25,65
25,67
17,64
25,67
24,67
25,71
24,71
24,70
23,68
20,64
23,69
23,72
23,69
19,59
17,59
17,62
21,67
25,64
21,69
22,68
17,64
20,65
25,69
17,59
18,65
22,61
19,60
24,66
24,65
25,65
28,62
25,64
25,64
20,59
21,68
17,65
21,65
29,61
25,64
29,66
28,75
30,76
43,94
50,101
51,99
54,131
62,155
81,141
105,145
120,186
141,240
164,295
189,285
214,261
242,291
252,287
268,267
280,225
282,204
275,206
258,188
251,186
233,184
215,183
200,187
187,194
179,203
165,203
151,223
140,238
129,248
121,264
111,272
96,267
94,274
90,280
83,274
76,265
76,266
65,261
67,261
61,255
58,238
58,236
59,229
57,223
52,213
49,196
51,193
47,182
49,176
49,160
44,161
46,150
47,136
44,132
36,124
41,118
41,111
37,94
38,97
34,91
33,82
39,87
38,84
32,71
38,78
36,78
30,76
35,75
36,73
29,68
35,70
33,61
35,67
36,67
27,64
25,63
31,68
31,69
33,64
29,67
28,68
32,74
32,67
29,67
32,62
30,70
30,69
29,71
30,69
31,69
26,74
27,76
24,68
29,68
28,71
22,69
28,70
28,66
31,71
31,71
30,71
30,72
29,66
31,65
31,65
30,63
26,67
29,64
29,70
31,65
32,68
30,67
26,61
30,68
26,64
28,70
22,67
20,68
29,72
29,68
28,72
27,71
28,71
26,69
18,65
22,61
29,71
28,69
27,65
28,68
27,69
26,71
27,69
26,67
29,65
26,65
21,68
26,67
27,67
21,62
24,65
28,70
22,66
16,60
26,60
24,58
22,64
26,66
22,57
26,59
25,64
24,64
30,67
27,65
29,69
27,67
24,59
24,61
23,55
24,54
28,65
18,63
25,70
22,63
29,70
28,71
31,64
22,64
30,68
28,66
23,58
31,64
30,67
27,62
25,63
26,57
25,63
29,63
27,66
24,68
27,62
23,61
20,62
28,67
28,66
25,62
26,65
21,62
28,63
27,59
26,59
26,55
18,52
22,51
27,58
21,51
24,59
28,60
28,60
22,57
21,60
25,62
28,62
25,56
26,62
26,66
25,65
25,64
24,57
30,69
26,65
27,63
27,68
26,68
29,66
23,61
22,61
18,62
24,62
23,65
20,61
28,67
20,62
28,63
27,64
27,60
28,67
23,66
26,68
27,69
28,66
25,67
27,68
28,64
22,58
26,61
19,62
22,60
25,63
21,54
24,62
25,62
26,65
19,52
24,62
25,66
29,77
30,76
30,68
29,63
28,72
24,66
25,65
20,56
26,65
21,60
27,66
27,68
27,63
21,59
27,65
20,57
27,61
26,62
25,64
24,60
24,67
28,67
17,57
21,56
22,55
28,66
27,69
26,67
24,68
19,66
20,59
24,59
19,63
28,65
26,66
27,69
24,69
18,59
26,68
25,80
26,78
26,80
21,70
27,72
26,77
24,73
34,71
23,74
28,69
29,72
28,71
27,67
25,67
26,64
24,60
23,67
24,70
26,71
27,66
28,70
21,66
26,74
26,64
27,66
20,61
23,70
25,70
23,63
27,62
27,64
23,68
18,60
25,63
21,54
21,60
26,67
27,70
22,64
23,64
26,70
27,66
23,64
27,59
27,60
24,61
29,63
21,60
28,62
27,55
28,64
23,61
20,59
28,62
27,58
26,60
20,56
25,64
26,59
23,53
26,58
24,66
21,61
26,64
26,60
20,58
24,65
26,64
24,60
19,55
21,57
28,59
26,59
26,57
25,60
22,57
18,52
21,56
24,49
26,49
19,49
28,63
19,56
18,56
20,59
20,64
27,67
26,66
25,63
26,66
24,65
25,63
20,56
27,61
27,66
27,72
27,68
28,66
26,59
28,63
26,64
26,64
24,54
28,59
27,61
24,58
29,60
25,60
20,63
28,67
30,67
22,59
29,64
26,59
27,55
28,61
23,57
29,61
28,59
30,59
29,61
24,53
27,57
23,50
24,61
27,59
28,60
20,52
27,55
27,62
28,58
24,64
26,61
27,60
23,62
24,64
27,61
21,56
27,56
21,57
23,65
22,56
25,60
25,57
26,64
26,64
26,62
28,67
31,67
25,66
23,67
23,63
26,59
17,56
26,62
25,56
28,60
20,55
25,59
26,64
24,63
