aX,aY
25,63
25,63
17,56
25,66
25,64
21,67
19,61
23,63
25,65
21,62
25,70
20,64
27,67
25,69
24,66
23,65
18,59
22,57
25,64
26,62
31,63
30,58
29,62
24,60
27,63
27,66
23,64
25,56
20,59
25,66
29,64
26,64
21,62
27,66
25,68
26,62
23,65
27,67
27,67
22,67
19,58
25,61
25,64
24,60
24,64
25,62
28,63
19,59
19,60
25,65
17,63
24,59
26,70
27,71
25,68
26,67
25,61
26,64
27,68
22,62
24,60
28,63
23,64
24,64
26,61
21,54
26,59
26,61
23,56
23,61
28,62
29,61
30,64
29,65
30,63
32,60
32,60
25,62
28,61
33,62
31,60
31,59
29,63
28,64
28,59
28,61
24,59
30,61
32,64
34,60
35,61
33,58
41,70
38,66
44,65
45,69
42,72
47,65
51,68
44,65
47,68
44,66
51,65
45,68
47,66
48,58
39,60
47,61
46,60
43,61
41,60
42,62
37,63
43,65
44,62
42,59
38,64
42,61
41,61
40,61
40,57
41,64
41,69
35,64
38,64
34,62
37,64
37,64
37,59
33,57
32,55
32,60
32,63
23,57
33,65
30,68
28,69
22,62
22,61
25,67
27,69
23,64
27,71
21,66
25,69
21,69
27,73
27,73
26,69
27,66
28,70
27,68
26,67
22,65
27,66
26,63
25,67
21,62
28,68
23,62
28,68
28,65
29,66
30,67
29,66
26,59
30,69
29,72
32,80
29,107
29,108
27,95
32,91
29,85
27,78
28,74
25,78
23,68
21,64
27,63
25,62
25,58
28,63
28,60
28,64
24,62
25,64
30,67
28,64
23,58
29,63
27,62
30,64
27,57
28,65
21,52
28,65
28,62
26,61
26,52
23,58
27,62
20,56
27,58
23,59
27,59
25,60
22,54
24,57
26,58
28,58
25,62
26,64
30,63
31,67
32,66
30,67
34,67
35,63
38,66
36,65
,
34,46
33,48
32,45
34,51
28,49
31,54
28,57
25,53
30,65
26,65
21,63
27,70
26,68
22,75
26,68
25,70
24,69
25,67
25,66
24,65
25,67
27,68
25,64
22,65
25,67
26,69
25,69
27,69
19,71
26,72
26,69
25,69
25,69
25,64
24,65
24,65
24,64
26,56
19,58
25,61
26,56
29,62
28,64
30,68
30,67
32,59
30,59
31,61
33,63
39,62
37,60
37,65
39,67
40,60
41,67
39,72
35,71
41,71
40,67
40,67
37,69
36,61
38,71
37,64
37,68
37,66
35,66
33,67
35,69
37,67
30,57
31,60
30,59
30,64
37,69
28,62
35,72
32,75
32,78
27,78
31,73
30,76
30,76
31,76
33,73
24,64
25,65
31,75
29,79
23,71
29,80
31,84
32,92
25,90
32,92
27,90
30,83
27,90
25,80
30,82
31,80
33,78
32,79
32,81
28,84
30,88
29,92
26,88
33,89
28,78
28,79
27,83
29,84
28,82
25,78
25,80
30,80
23,79
27,83
27,79
28,78
23,78
28,81
29,80
29,75
25,69
31,69
34,74
30,66
34,70
32,59
25,60
32,69
32,69
33,68
30,69
26,66
26,63
31,62
32,68
27,65
25,65
25,69
29,70
29,68
32,69
25,64
28,74
25,68
24,64
24,67
21,64
25,71
27,70
27,69
27,67
26,70
27,70
24,62
26,63
26,65
26,67
25,66
20,61
27,69
24,66
24,64
20,69
24,63
26,67
27,70
27,71
22,74
28,74
28,72
28,74
28,72
29,69
28,73
27,68
27,71
26,71
25,75
26,74
25,72
20,62
23,71
26,71
24,67
25,69
25,66
26,75
27,76
29,74
27,69
20,65
22,67
25,74
25,66
26,72
25,67
26,71
24,65
25,74
24,70
27,68
25,70
21,67
24,72
26,71
26,70
27,68
21,62
28,66
29,67
26,64
27,64
30,65
27,67
29,72
32,75
29,77
26,82
31,82
31,81
27,70
27,72
30,77
30,73
31,70
25,69
31,78
28,78
32,84
31,77
30,76
30,83
29,80
31,80
25,80
25,76
28,74
28,83
24,76
27,80
27,79
26,77
30,82
22,78
29,78
27,75
28,75
29,77
29,78
25,74
25,77
27,71
23,73
32,73
29,71
30,76
28,71
24,69
25,78
24,66
30,75
23,73
28,78
28,78
29,77
29,76
30,80
27,81
29,89
27,95
22,89
19,97
22,99
26,106
27,105
19,99
23,87
23,96
28,99
27,99
29,93
25,88
26,87
27,87
28,86
21,76
20,73
24,81
27,75
21,75
25,74
25,75
26,78
24,77
24,76
26,73
26,74
26,70
22,76
24,80
22,71
28,71
24,76
27,79
26,82
27,80
26,78
25,79
25,77
26,79
26,76
25,77
28,75
31,74
37,76
35,74
37,75
37,82
39,90
40,88
42,95
42,94
44,93
38,93
44,89
40,81
46,79
48,78
45,79
51,83
48,74
46,77
50,74
50,84
51,80
45,82
49,79
49,80
48,79
50,76
48,70
41,68
49,75
44,75
44,76
48,74
40,68
45,72
45,77
44,73
44,62
34,63
41,65
37,65
43,63
37,61
36,63
29,58
36,64
29,60
31,61
25,54
29,58
30,61
29,59
28,59
29,65
29,70
28,74
22,66
29,67
29,71
27,74
23,71
26,73
22,66
28,74
27,65
25,66
28,66
27,61
26,60
28,60
28,60
26,59
21,51
20,49
25,58
24,56
26,62
29,56
22,53
22,55
28,61
33,70
26,68
27,67
31,75
31,68
28,62
31,66
34,64
35,61
32,68
30,58
32,56
40,57
38,69
32,64
41,66
36,63
39,65
41,65
39,64
34,63
40,69
34,62
42,68
42,69
41,68
40,65
42,71
34,71
42,70
36,59
30,59
29,62
32,67
29,68
22,62
30,66
25,59
29,66
23,65
25,68
21,64
24,64
19,57
27,67
19,60
26,64
23,60
21,64
28,69
25,70
25,65
26,65
24,64
26,65
26,65
25,62
26,62
27,64
26,66
26,65
22,59
26,67
26,72
26,73
24,74
18,66
18,63
27,70
28,71
23,72
27,64
27,69
25,66
25,66
31,71
33,69
32,67
31,67
35,67
33,61
36,63
33,61
25,63
35,65
29,61
26,54
31,62
31,63
24,58
27,65
29,64
28,61
29,66
28,65
31,69
30,66
30,64
31,63
28,66
29,72
31,71
27,70
30,77
30,76
30,73
29,73
29,70
30,69
31,67
26,61
32,64
30,64
28,60
30,63
29,61
27,63
28,66
28,71
29,71
23,67
29,66
28,66
22,63
27,68
29,67
28,67
28,69
27,64
27,66
28,70
20,64
20,71
23,66
20,67
25,64
26,65
25,63
26,67
26,67
19,60
22,60
27,67
25,68
21,62
21,61
28,68
26,68
25,73
22,70
27,76
26,72
26,69
28,68
28,75
26,77
25,75
26,72
22,67
27,71
28,71
28,70
27,70
27,70
23,63
24,65
28,64
25,61
21,60
25,64
27,59
25,59
25,59
28,64
28,65
28,65
27,63
27,64
22,58
25,60
25,57
29,62
25,59
27,63
22,57
28,63
28,64
27,65
29,64
20,58
27,64
26,62
26,67
22,65
29,70
26,66
27,65
28,66
25,63
27,66
23,58
23,63
27,61
25,62
23,58
26,62
27,61
19,61
26,70
27,69
28,68
27,69
28,68
26,69
26,68
24,63
27,65
23,59
21,60
28,62
28,64
27,61
28,64
25,75
20,66
26,67
27,66
27,68
22,63
26,65
28,57
25,60
25,65
28,69
27,66
27,64
25,60
25,61
18,59
22,64
24,67
21,65
26,68
26,84
28,106
23,111
26,101
24,95
24,88
29,88
22,74
21,74
28,80
25,75
25,75
27,76
24,73
20,65
24,74
24,76
26,72
26,69
25,62
26,66
23,67
24,66
21,62
29,68
28,71
27,70
28,71
27,68
27,70
21,68
20,71
22,73
24,72
25,70
25,69
26,69
27,73
22,72
27,69
26,66
18,62
26,69
24,64
26,63
24,62
25,65
24,68
26,68
24,64
23,62
20,58
21,63
20,64
26,67
25,63
25,64
20,58
20,61
26,62
26,63
25,63
24,63
24,59
25,58
26,58
25,54
26,58
22,49
25,54
19,51
29,56
23,55
24,56
25,57
17,52
23,61
25,55
26,57
19,48
25,56
25,56
25,54
26,54
25,56
19,50
27,57
27,57
28,82
27,81
27,77
26,75
21,70
25,67
28,66
26,62
21,58
19,55
,
27,97
28,113
27,100
24,90
27,87
27,87
28,84
25,83
19,73
24,77
26,73
26,71
24,66
26,66
23,63
21,57
27,64
27,63
23,61
25,59
22,58
26,59
21,72
25,74
19,64
25,67
24,67
26,68
23,69
26,69
25,70
24,69
25,68
20,57
18,58
22,61
24,59
24,63
25,62
24,64
20,60
23,63
24,62
22,62
23,65
19,60
20,58
24,65
24,68
25,72
22,73
24,67
23,72
21,64
25,71
23,73
24,73
26,71
25,72
23,72
19,69
25,74
24,78
25,78
23,77
26,84
21,77
25,80
27,76
24,78
21,70
25,77
25,93
21,102
27,101
25,95
26,87
25,75
25,77
23,73
26,76
27,66
26,66
32,68
36,71
30,67
38,70
33,68
37,69
38,73
35,74
40,73
40,70
31,65
31,72
29,70
33,68
33,69
30,73
30,66
26,71
29,69
24,64
27,65
23,61
26,70
25,66
27,65
25,66
29,67
20,64
24,66
24,66
24,67
16,59
25,67
26,67
28,66
27,64
30,68
27,64
30,66
31,61
35,60
35,70
30,65
37,75
37,74
32,66
38,72
36,73
37,74
37,70
35,70
36,68
32,72
32,64
34,60
38,67
32,62
33,70
38,74
36,68
32,64
34,73
28,63
34,70
32,66
33,61
33,70
31,71
32,74
24,63
24,62
27,65
29,64
31,70
31,70
31,68
29,70
25,71
23,65
24,62
25,70
27,68
21,69
21,66
25,67
25,65
17,59
25,65
21,64
26,64
24,64
20,62
25,68
24,68
24,68
26,66
25,67
29,70
28,68
21,61
22,63
20,63
28,72
23,64
25,67
26,66
28,68
27,70
28,69
28,69
25,66
30,73
30,69
35,74
28,67
29,69
33,68
28,66
32,66
31,65
34,65
33,62
34,64
35,60
46,67
43,72
49,75
46,74
48,74
42,74
39,71
34,67
37,69
31,64
36,68
31,65
36,70
42,72
43,78
49,67
49,72
49,73
39,71
41,74
40,75
33,74
28,68
33,73
27,73
32,74
29,72
30,71
32,71
28,65
31,71
26,64
24,71
21,70
29,71
26,68
27,65
22,63
26,68
29,68
29,63
26,66
28,64
26,65
24,65
27,68
25,72
27,69
26,69
28,69
27,65
27,67
26,66
26,66
24,68
29,67
27,67
27,67
28,67
24,67
34,64
26,67
26,68
26,71
22,63
26,68
24,68
26,69
25,69
29,67
25,65
26,67
23,69
24,70
25,66
18,60
25,64
26,72
25,74
26,70
23,66
29,71
24,66
27,71
22,62
26,69
23,71
20,63
30,70
22,64
28,67
19,62
27,70
28,66
29,69
26,63
26,66
21,59
20,63
31,62
27,64
27,66
29,65
24,64
22,56
19,57
26,63
25,63
27,63
21,61
25,67
25,61
26,65
26,65
23,65
24,66
29,66
26,58
30,62
34,60
31,56
38,65
41,63
43,68
44,65
46,68
52,67
51,74
52,69
51,65
48,64
54,70
53,67
53,65
52,60
49,60
49,68
50,74
48,66
44,66
42,62
44,68
42,66
45,65
47,64
40,62
43,63
41,67
39,66
38,66
34,58
31,62
34,68
32,71
33,75
32,72
31,71
17,68
27,69
28,71
27,71
32,74
32,73
29,70
25,67
30,68
25,68
29,71
27,70
30,70
25,70
26,67
29,71
25,63
28,68
32,67
30,69
26,67
25,62
30,67
31,66
25,64
31,69
26,64
30,68
23,63
25,72
24,65
29,71
22,60
26,69
28,69
20,65
28,64
27,65
26,69
27,70
19,63
28,65
19,57
27,68
26,63
27,66
27,67
25,65
26,66
22,63
20,59
26,66
25,65
27,68
25,74
27,66
25,69
26,70
25,73
27,72
26,70
27,66
27,63
22,60
27,70
28,68
30,67
30,67
22,66
30,67
26,67
29,69
25,70
25,71
29,76
30,73
29,77
29,75
26,69
28,75
28,68
28,68
30,64
32,70
29,67
33,69
34,77
38,74
39,74
39,74
38,68
33,62
35,66
34,64
37,69
32,67
35,68
31,68
36,71
36,69
34,67
35,70
35,68
35,70
37,67
37,69
34,68
37,68
37,66
30,62
33,64
33,63
35,67
27,62
35,64
35,63
35,65
33,65
36,66
36,66
34,64
35,67
34,70
35,71
32,66
33,63
34,65
32,66
32,65
35,64
33,62
25,57
35,63
35,64
34,60
29,54
33,57
36,63
34,61
38,60
27,57
28,57
34,62
35,69
38,65
36,63
34,67
32,68
35,65
27,56
34,63
33,65
36,62
31,62
30,56
35,60
38,63
40,62
39,60
38,58
38,62
37,65
35,66
32,60
34,65
33,61
26,58
